Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Hyundai,Tucson,2023,Hybride,9 CV,70 000 - 74 999,5,,Excellent,Automatique,WW au Maroc,335 000 DH
Renault,Espace,1997,Diesel,8 CV,0 - 4 999,5,Non,Bon,Manuelle,Dédouanée,35 000 DH
Volkswagen,Passat CC,2017,Diesel,8 CV,170 000 - 179 999,5,Oui,Excellent,Manuelle,WW au Maroc,165 000 DH
Mercedes-Benz,Classe CLC,2021,Diesel,8 CV,70 000 - 74 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,Classe E,2022,Diesel,8 CV,45 000 - 49 999,5,Oui,Excellent,Automatique,WW au Maroc,445 000 DH
Land Rover,Range Rover Vogue,2023,Diesel,12 CV,30 000 - 34 999,5,Oui,Neuf,Automatique,WW au Maroc,
Renault,R4,1990,Essence,Plus de 41 CV,15 000 - 19 999,,Non,Excellent,Manuelle,WW au Maroc,
BMW,Série 5,2023,Diesel,8 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,450 000 DH
Renault,Kangoo,2012,Diesel,7 CV,250 000 - 299 999,,Non,Excellent,Manuelle,,85 000 DH
Mercedes-Benz,Classe E,2016,Diesel,8 CV,150 000 - 159 999,5,Non,Très bon,Automatique,WW au Maroc,310 000 DH
Mercedes-Benz,Classe GLC,2021,Diesel,8 CV,120 000 - 129 999,5,Oui,Neuf,Automatique,Dédouanée,
Peugeot,308,2020,Diesel,6 CV,95 000 - 99 999,5,Non,Neuf,Automatique,WW au Maroc,177 000 DH
Fiat,500,2021,Essence,7 CV,20 000 - 24 999,3,,Très bon,Automatique,WW au Maroc,
Hyundai,i10,2016,Hybride,6 CV,75 000 - 79 999,5,Non,Très bon,Manuelle,WW au Maroc,
Hyundai,Santa Fe,2020,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,
Jeep,Wrangler,2017,Diesel,6 CV,5 000 - 9 999,5,Non,Bon,Automatique,WW au Maroc,153 000 DH
BMW,Série 5,2012,Diesel,8 CV,170 000 - 179 999,5,Non,Excellent,Automatique,WW au Maroc,
Citroen,C5,2021,Diesel,6 CV,45 000 - 49 999,5,,Excellent,Manuelle,,225 000 DH
Honda,CR-V,2012,Diesel,9 CV,190 000 - 199 999,,,Excellent,Manuelle,,
Mercedes-Benz,Classe GLC,2016,Diesel,8 CV,140 000 - 149 999,5,Non,Excellent,Automatique,WW au Maroc,279 000 DH
Dacia,Logan,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,123 000 DH
Hyundai,Tucson,2024,Diesel,6 CV,20 000 - 24 999,5,Oui,Excellent,Automatique,WW au Maroc,310 000 DH
Volkswagen,Golf 3,1994,Diesel,8 CV,200 000 - 249 999,5,Non,Bon,Manuelle,Dédouanée,
Alfa Romeo,Giulia,2018,Diesel,9 CV,170 000 - 179 999,5,Oui,Très bon,Automatique,WW au Maroc,260 000 DH
Peugeot,405,1998,Diesel,7 CV,200 000 - 249 999,5,Oui,Excellent,Manuelle,Dédouanée,30 000 DH
Mercedes-Benz,Classe C,2015,Diesel,7 CV,150 000 - 159 999,5,,Très bon,Automatique,Importée neuve,255 000 DH
BMW,Série 2,2021,Diesel,6 CV,35 000 - 39 999,5,Oui,Excellent,Automatique,WW au Maroc,305 000 DH
Mercedes-Benz,220,2001,Diesel,9 CV,250 000 - 299 999,,,Excellent,Automatique,Dédouanée,67 000 DH
BMW,Série 5,2012,Diesel,8 CV,180 000 - 189 999,,Non,Bon,Automatique,,180 000 DH
Mercedes-Benz,220,1997,Diesel,9 CV,30 000 - 34 999,5,Non,Excellent,Manuelle,Dédouanée,
Dacia,Dokker,2018,Diesel,8 CV,140 000 - 149 999,5,Oui,Excellent,Manuelle,WW au Maroc,105 000 DH
Dacia,Dokker,2020,Diesel,6 CV,160 000 - 169 999,5,Non,Très bon,Manuelle,WW au Maroc,130 000 DH
Audi,Q8,2025,Diesel,12 CV,0 - 4 999,5,,Neuf,Automatique,Importée neuve,
Peugeot,3008,2022,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,268 000 DH
Citroen,Xsara,2002,Diesel,8 CV,350 000 - 399 999,5,Non,Bon,Automatique,Dédouanée,45 000 DH
Renault,Kangoo,2018,Diesel,6 CV,130 000 - 139 999,5,Non,Très bon,Manuelle,WW au Maroc,115 000 DH
Kia,Picanto,2016,Essence,6 CV,100 000 - 109 999,5,Non,Très bon,Manuelle,WW au Maroc,
Renault,R5,1985,Diesel,6 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,22 000 DH
Hyundai,Accent,2021,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,WW au Maroc,
BMW,Série 2,2023,Diesel,6 CV,15 000 - 19 999,5,Oui,Excellent,Automatique,,379 000 DH
Porsche,Panamera,2022,Hybride,17 CV,75 000 - 79 999,,,Excellent,Automatique,Importée neuve,
Dacia,Sandero,2012,Essence,5 CV,55 000 - 59 999,5,Non,Très bon,Manuelle,WW au Maroc,69 000 DH
Land Rover,Range Rover Velar,2018,Diesel,12 CV,120 000 - 129 999,5,Non,Neuf,Automatique,WW au Maroc,
Peugeot,Partner,2010,Diesel,6 CV,350 000 - 399 999,5,Non,Correct,Manuelle,WW au Maroc,55 000 DH
Porsche,Cayenne,2016,Diesel,12 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,WW au Maroc,
Dacia,Dokker,2020,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Jaguar,XJ,1998,Essence,19 CV,200 000 - 249 999,5,Oui,Bon,Automatique,WW au Maroc,85 000 DH
Peugeot,3008,2020,Diesel,8 CV,110 000 - 119 999,5,Non,Excellent,Automatique,WW au Maroc,245 000 DH
Renault,Modus,2007,Diesel,6 CV,350 000 - 399 999,5,Non,Bon,Manuelle,WW au Maroc,60 000 DH
Mercedes-Benz,Vito,2019,Diesel,9 CV,190 000 - 199 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Peugeot,2008,2020,Diesel,6 CV,45 000 - 49 999,5,Oui,Très bon,Automatique,WW au Maroc,225 000 DH
Mercedes-Benz,250,2013,Diesel,9 CV,250 000 - 299 999,5,Non,Très bon,Automatique,Dédouanée,185 000 DH
Peugeot,308,2008,Essence,8 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,61 000 DH
MG,HS Phev,2012,Essence,6 CV,170 000 - 179 999,5,Non,Excellent,Manuelle,WW au Maroc,52 000 DH
Audi,A3,2019,Diesel,8 CV,100 000 - 109 999,5,Non,Excellent,Automatique,WW au Maroc,240 000 DH
Mercedes-Benz,220,2011,Diesel,11 CV,190 000 - 199 999,,,Très bon,Automatique,Dédouanée,195 000 DH
Volkswagen,Touareg,2016,Diesel,12 CV,190 000 - 199 999,3,Oui,Excellent,Automatique,WW au Maroc,163 000 DH
BMW,X3,2020,Diesel,8 CV,150 000 - 159 999,5,Non,Excellent,Automatique,WW au Maroc,325 000 DH
Dacia,Duster,2022,Diesel,6 CV,80 000 - 84 999,5,Non,Excellent,Automatique,WW au Maroc,
Seat,Ateca,2020,Diesel,6 CV,150 000 - 159 999,5,Oui,Excellent,Automatique,Dédouanée,
Land Rover,Range Rover Evoque,2023,Diesel,8 CV,20 000 - 24 999,5,Oui,Excellent,Automatique,WW au Maroc,540 000 DH
Volkswagen,Golf 5,2005,Diesel,8 CV,350 000 - 399 999,5,Oui,Très bon,Manuelle,Dédouanée,80 000 DH
Kia,Picanto,2021,Essence,6 CV,55 000 - 59 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Lancia,Delta,2015,Essence,8 CV,95 000 - 99 999,5,Non,Très bon,Manuelle,WW au Maroc,75 000 DH
Hyundai,Tucson,2021,Diesel,6 CV,100 000 - 109 999,5,,Très bon,Automatique,WW au Maroc,262 000 DH
Peugeot,308,2019,Diesel,7 CV,0 - 4 999,5,Oui,Excellent,Manuelle,WW au Maroc,160 000 DH
Porsche,Macan,2020,Essence,17 CV,70 000 - 74 999,5,Oui,Excellent,Automatique,Dédouanée,
Volkswagen,Arteon,2019,Diesel,8 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,WW au Maroc,
Audi,Q8,2023,Diesel,12 CV,30 000 - 34 999,5,Oui,Excellent,Automatique,Importée neuve,
Citroen,Xsara,2004,Diesel,8 CV,250 000 - 299 999,5,Oui,Très bon,Manuelle,Dédouanée,
Renault,Koleos,2011,Diesel,8 CV,120 000 - 129 999,5,Non,,Manuelle,WW au Maroc,
Toyota,Prado,2006,Diesel,12 CV,300 000 - 349 999,,,Pour Pièces,Manuelle,,
Volkswagen,Golf 5,2004,Diesel,8 CV,35 000 - 39 999,5,Non,Excellent,Manuelle,Dédouanée,68 000 DH
Renault,Kangoo,2020,Diesel,7 CV,160 000 - 169 999,,Oui,Très bon,Manuelle,WW au Maroc,
Renault,19,1996,Diesel,7 CV,250 000 - 299 999,5,Oui,Bon,Manuelle,Dédouanée,28 000 DH
Suzuki,Maruti,2008,Diesel,5 CV,30 000 - 34 999,5,Non,Correct,Manuelle,,20 000 DH
Dacia,Dokker,2022,Diesel,6 CV,130 000 - 139 999,,Non,Excellent,Manuelle,WW au Maroc,135 000 DH
Volkswagen,Polo,2013,Essence,5 CV,160 000 - 169 999,5,Non,Très bon,Manuelle,WW au Maroc,90 000 DH
Mercedes-Benz,Classe ML,2011,Diesel,12 CV,200 000 - 249 999,5,Non,Excellent,Automatique,WW au Maroc,125 000 DH
BMW,X3,2015,Diesel,8 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,WW au Maroc,
Volkswagen,Caddy,2017,Diesel,8 CV,450 000 - 499 999,5,Non,Bon,Manuelle,Dédouanée,
Fiat,500,2018,Essence,7 CV,110 000 - 119 999,3,Non,Très bon,Automatique,,97 500 DH
Peugeot,206,2007,Essence,6 CV,300 000 - 349 999,5,Non,Bon,Manuelle,WW au Maroc,47 000 DH
Renault,Clio,2021,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Ford,Kuga,2011,Diesel,8 CV,100 000 - 109 999,5,Non,Très bon,Manuelle,Dédouanée,120 000 DH
Peugeot,Partner,2018,Diesel,7 CV,130 000 - 139 999,5,Non,Excellent,Manuelle,WW au Maroc,138 000 DH
Dacia,Logan,2021,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Dacia,Sandero,2014,Diesel,6 CV,15 000 - 19 999,5,Oui,Très bon,Manuelle,WW au Maroc,110 000 DH
Mercedes-Benz,Classe CLA,2024,Diesel,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,690 000 DH
Nissan,Qashqai,2018,Diesel,6 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,WW au Maroc,218 000 DH
Mercedes-Benz,Classe C,2015,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,Dédouanée,
Renault,Clio,2020,Hybride,9 CV,130 000 - 139 999,5,Oui,Excellent,Automatique,Dédouanée,195 000 DH
Renault,Clio,2013,Essence,6 CV,140 000 - 149 999,,,Très bon,Manuelle,,58 000 DH
Peugeot,208,2021,Diesel,6 CV,140 000 - 149 999,5,Oui,Très bon,Manuelle,WW au Maroc,148 000 DH
Tesla,Model 3,2020,Electrique,12 CV,75 000 - 79 999,5,Oui,Excellent,Automatique,Dédouanée,445 000 DH
Dacia,Dokker,2020,Diesel,6 CV,5 000 - 9 999,,,Excellent,Manuelle,,124 000 DH
Dacia,Lodgy,2021,Diesel,6 CV,15 000 - 19 999,5,Non,Excellent,Manuelle,WW au Maroc,135 000 DH
Volkswagen,T-Roc,2021,Diesel,8 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,WW au Maroc,320 000 DH
Fiat,Tipo,2019,Diesel,7 CV,5 000 - 9 999,5,Non,Très bon,Manuelle,WW au Maroc,120 000 DH
Citroen,Jumper,2019,Diesel,9 CV,130 000 - 139 999,5,Oui,Très bon,Manuelle,WW au Maroc,185 000 DH
Mercedes-Benz,Classe E,2017,Diesel,9 CV,100 000 - 109 999,5,Oui,Très bon,Automatique,WW au Maroc,
Mercedes-Benz,Classe C,2019,Diesel,8 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,Dédouanée,
Hyundai,Sonata,2021,Hybride,11 CV,80 000 - 84 999,5,Non,Très bon,Automatique,WW au Maroc,279 999 DH
Renault,Express,2022,Diesel,6 CV,5 000 - 9 999,5,Oui,Neuf,Manuelle,WW au Maroc,
Mitsubishi,L200,2013,Diesel,10 CV,25 000 - 29 999,5,Non,Très bon,Manuelle,WW au Maroc,125 000 DH
,,,,,,,,,,,1 000 DH
Peugeot,306,1999,Diesel,7 CV,20 000 - 24 999,5,Non,Bon,Manuelle,Dédouanée,45 000 DH
Hyundai,Tucson,2006,Diesel,8 CV,15 000 - 19 999,5,,Excellent,Manuelle,,
Mercedes-Benz,Classe CLA,2022,Hybride,8 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,,430 000 DH
Citroen,Berlingo,2022,Diesel,6 CV,60 000 - 64 999,5,Non,Excellent,Manuelle,WW au Maroc,186 000 DH
Peugeot,208,2017,Diesel,6 CV,130 000 - 139 999,,Oui,Très bon,Manuelle,WW au Maroc,118 999 DH
Ford,Focus,2012,Diesel,6 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,103 000 DH
Peugeot,3008,2018,Diesel,8 CV,120 000 - 129 999,5,Non,Excellent,Automatique,WW au Maroc,
Renault,Clio,2002,Essence,6 CV,200 000 - 249 999,5,Oui,Bon,Manuelle,WW au Maroc,44 000 DH
Mercedes-Benz,Classe GLC,2022,Hybride,8 CV,150 000 - 159 999,,,Excellent,Automatique,Dédouanée,
Volkswagen,Touareg,2020,Diesel,12 CV,95 000 - 99 999,5,Oui,Très bon,Automatique,WW au Maroc,
Peugeot,208,2021,Diesel,6 CV,55 000 - 59 999,5,Oui,Excellent,Manuelle,WW au Maroc,
DS,DS7,2019,Diesel,8 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,280 000 DH
Volkswagen,Golf 7,2019,Diesel,5 CV,110 000 - 119 999,5,Non,Très bon,Automatique,Dédouanée,
Nissan,Murano,2006,Essence,20 CV,160 000 - 169 999,5,Non,Correct,Automatique,WW au Maroc,41 000 DH
Fiat,Palio,2000,Diesel,7 CV,10 000 - 14 999,,,Très bon,Manuelle,,
Peugeot,208,2019,Diesel,6 CV,130 000 - 139 999,5,Oui,Neuf,Manuelle,WW au Maroc,123 000 DH
Dacia,Sandero,2018,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,125 000 DH
Citroen,C3,2021,Diesel,6 CV,60 000 - 64 999,5,Oui,Excellent,Manuelle,WW au Maroc,143 000 DH
Hyundai,i10,2013,Essence,6 CV,150 000 - 159 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Volkswagen,Tiguan,2017,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,Dédouanée,310 000 DH
Mercedes-Benz,Classe GLC,2020,Diesel,9 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,
Volkswagen,Golf 6,2015,Diesel,8 CV,180 000 - 189 999,5,Oui,Excellent,Manuelle,Dédouanée,113 000 DH
Mini,CountryMan,2012,Diesel,8 CV,150 000 - 159 999,5,,Excellent,Automatique,WW au Maroc,
Fiat,Palio,2002,Diesel,7 CV,400 000 - 449 999,5,Non,Très bon,Manuelle,WW au Maroc,36 000 DH
Fiat,500,2023,Essence,7 CV,30 000 - 34 999,5,Oui,Excellent,Automatique,WW au Maroc,153 000 DH
Volkswagen,Touareg,2008,Diesel,12 CV,200 000 - 249 999,5,Non,Très bon,Automatique,Dédouanée,73 000 DH
Volkswagen,Touareg,2019,Diesel,12 CV,90 000 - 94 999,5,Oui,Excellent,Automatique,WW au Maroc,465 000 DH
Dacia,Logan,2019,Diesel,6 CV,120 000 - 129 999,3,Non,Excellent,Manuelle,WW au Maroc,117 000 DH
Audi,Q5,2015,Diesel,12 CV,160 000 - 169 999,5,Non,Très bon,Automatique,Importée neuve,
Renault,Express,2024,Diesel,6 CV,35 000 - 39 999,,Oui,Excellent,Manuelle,WW au Maroc,
Ford,C-Max,2009,Diesel,7 CV,400 000 - 449 999,5,Non,Très bon,Manuelle,WW au Maroc,86 000 DH
Tesla,Model Y,2025,Electrique,17 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Volkswagen,Golf 8,2023,Diesel,8 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,WW au Maroc,320 000 DH
Hyundai,Creta,2016,Diesel,6 CV,150 000 - 159 999,5,Non,Très bon,Manuelle,WW au Maroc,150 000 DH
Skoda,Octavia,2018,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,,168 000 DH
Renault,Megane,2018,Diesel,6 CV,130 000 - 139 999,5,Non,Neuf,Automatique,WW au Maroc,168 000 DH
Toyota,Corolla,2010,Diesel,5 CV,350 000 - 399 999,5,Non,Très bon,Manuelle,WW au Maroc,78 000 DH
Renault,Express,2022,Diesel,6 CV,75 000 - 79 999,5,,Excellent,Manuelle,WW au Maroc,167 000 DH
Dacia,Logan,2019,Diesel,8 CV,100 000 - 109 999,,Oui,Très bon,Manuelle,WW au Maroc,
Mercedes-Benz,Classe C,2020,Diesel,8 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,Dédouanée,
Audi,Q5,2020,Diesel,8 CV,180 000 - 189 999,5,Oui,Bon,Automatique,WW au Maroc,360 000 DH
Peugeot,308,2019,Diesel,6 CV,180 000 - 189 999,5,Oui,Excellent,Manuelle,WW au Maroc,129 000 DH
Mercedes-Benz,220,2001,Diesel,9 CV,250 000 - 299 999,5,Oui,Bon,Manuelle,Dédouanée,73 000 DH
Mercedes-Benz,Classe CLA,2024,Diesel,8 CV,5 000 - 9 999,3,Oui,Excellent,Automatique,Dédouanée,
Renault,Kangoo,2014,Diesel,6 CV,300 000 - 349 999,,Non,Très bon,Manuelle,WW au Maroc,
Opel,Insignia,2018,Diesel,8 CV,120 000 - 129 999,,,Excellent,Automatique,WW au Maroc,185 000 DH
Ford,Kuga,2020,Diesel,6 CV,5 000 - 9 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Renault,Clio,1999,Essence,7 CV,200 000 - 249 999,5,,Très bon,Manuelle,,48 000 DH
Volkswagen,Tiguan,2020,Diesel,8 CV,200 000 - 249 999,5,Oui,Excellent,Automatique,WW au Maroc,290 000 DH
Opel,Adam,2017,Essence,7 CV,35 000 - 39 999,3,Oui,Excellent,Manuelle,WW au Maroc,100 000 DH
Opel,Corsa,2020,Essence,7 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,130 000 DH
Peugeot,2008,2020,Diesel,6 CV,95 000 - 99 999,5,,Excellent,Automatique,WW au Maroc,245 000 DH
Mercedes-Benz,Classe C,2010,Diesel,9 CV,160 000 - 169 999,5,,Excellent,Manuelle,,141 000 DH
Mercedes-Benz,220,2016,Diesel,8 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,Dédouanée,295 000 DH
Peugeot,208,2023,Diesel,6 CV,60 000 - 64 999,3,Oui,Excellent,Manuelle,Dédouanée,160 000 DH
Mercedes-Benz,220,2003,Diesel,9 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,Dédouanée,88 000 DH
Volkswagen,Golf 8,2022,Diesel,8 CV,100 000 - 109 999,5,Non,Excellent,Automatique,WW au Maroc,305 000 DH
Citroen,C3,2019,Diesel,6 CV,170 000 - 179 999,5,Non,Excellent,Manuelle,WW au Maroc,120 000 DH
Volkswagen,Touareg,2016,Diesel,12 CV,200 000 - 249 999,5,Non,Excellent,Automatique,WW au Maroc,
Renault,Megane,2019,Diesel,6 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,WW au Maroc,168 000 DH
Peugeot,208,2025,Diesel,6 CV,5 000 - 9 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Renault,Kangoo,2013,Diesel,9 CV,200 000 - 249 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Volkswagen,Tiguan,2023,Diesel,8 CV,25 000 - 29 999,5,Oui,Excellent,Automatique,Dédouanée,
Citroen,Berlingo,2012,Diesel,6 CV,0 - 4 999,,Oui,Excellent,Manuelle,,91 000 DH
Mercedes-Benz,Classe B,2013,Diesel,7 CV,300 000 - 349 999,5,,Excellent,Manuelle,WW au Maroc,130 000 DH
Renault,Clio,2023,Diesel,6 CV,15 000 - 19 999,5,Non,Très bon,Manuelle,WW au Maroc,
BMW,X1,2020,Diesel,6 CV,140 000 - 149 999,3,Oui,Excellent,Automatique,Dédouanée,
Volkswagen,Passat,2017,Diesel,8 CV,110 000 - 119 999,5,Oui,Excellent,Automatique,WW au Maroc,
Mercedes-Benz,Classe CLC,2016,Diesel,9 CV,200 000 - 249 999,5,,Très bon,Automatique,WW au Maroc,240 000 DH
Renault,Clio,2017,Diesel,7 CV,140 000 - 149 999,5,Non,Très bon,Automatique,WW au Maroc,123 000 DH
Audi,A4,2021,Diesel,8 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,
Volkswagen,Golf 8,2022,Diesel,8 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,WW au Maroc,310 000 DH
Fiat,Punto,2015,Diesel,5 CV,140 000 - 149 999,5,,Excellent,Manuelle,WW au Maroc,85 000 DH
Peugeot,3008,2023,Diesel,8 CV,40 000 - 44 999,,,,Automatique,,298 000 DH
Volkswagen,Tiguan,2020,Diesel,8 CV,200 000 - 249 999,5,Oui,Excellent,Automatique,Dédouanée,
Volvo,V40,2009,Essence,4 CV,70 000 - 74 999,3,Oui,Excellent,Manuelle,,125 000 DH
Citroen,C-Elysée,2022,Diesel,6 CV,85 000 - 89 999,5,Oui,Excellent,Manuelle,WW au Maroc,128 000 DH
Renault,Express,2023,Diesel,6 CV,250 000 - 299 999,5,,Excellent,Manuelle,WW au Maroc,162 000 DH
Kia,Picanto,2010,Essence,6 CV,180 000 - 189 999,5,Non,Très bon,Manuelle,WW au Maroc,
Dacia,Duster,2014,Diesel,6 CV,160 000 - 169 999,5,Non,Très bon,Manuelle,WW au Maroc,128 000 DH
Volkswagen,Tiguan,2017,Diesel,8 CV,180 000 - 189 999,5,Oui,Très bon,Automatique,WW au Maroc,230 000 DH
BMW,Série 4,2017,Diesel,8 CV,150 000 - 159 999,5,Non,Excellent,Automatique,WW au Maroc,279 999 DH
Volkswagen,Golf 4,2001,Diesel,8 CV,180 000 - 189 999,5,Non,Excellent,Manuelle,Dédouanée,78 000 DH
Opel,Corsa,2024,Diesel,6 CV,5 000 - 9 999,5,,Neuf,Manuelle,WW au Maroc,178 000 DH
Land Rover,Defender,2025,Essence,16 CV,0 - 4 999,3,Oui,Neuf,Automatique,Importée neuve,
Renault,Clio,2021,Diesel,6 CV,150 000 - 159 999,,,,Manuelle,WW au Maroc,134 000 DH
Ford,F350,1998,Essence,33 CV,75 000 - 79 999,5,Non,Très bon,Automatique,Importée neuve,
Citroen,C3,2021,Diesel,6 CV,120 000 - 129 999,5,Oui,Neuf,Manuelle,WW au Maroc,136 000 DH
Porsche,Cayenne,2011,Diesel,12 CV,160 000 - 169 999,5,Non,Excellent,Automatique,Importée neuve,220 000 DH
Dacia,Dokker,2019,Diesel,6 CV,130 000 - 139 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Peugeot,Partner,2006,Diesel,6 CV,350 000 - 399 999,5,,Bon,Manuelle,WW au Maroc,53 000 DH
Seat,Arona,2022,Diesel,6 CV,50 000 - 54 999,5,Oui,Excellent,Manuelle,WW au Maroc,208 000 DH
Hyundai,Tucson,2018,Diesel,7 CV,130 000 - 139 999,5,Oui,Excellent,Manuelle,WW au Maroc,200 000 DH
Peugeot,208,2020,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,148 000 DH
Porsche,Panamera,2010,Essence,28 CV,180 000 - 189 999,5,Non,,Automatique,WW au Maroc,160 000 DH
BMW,Série 5,2006,Diesel,8 CV,0 - 4 999,5,Non,Excellent,Automatique,WW au Maroc,
BMW,X1,2017,Diesel,8 CV,85 000 - 89 999,5,Oui,Excellent,Automatique,WW au Maroc,250 000 DH
Renault,Clio,2021,Diesel,6 CV,90 000 - 94 999,,,,Manuelle,,
Volkswagen,Touareg,2012,Diesel,12 CV,130 000 - 139 999,5,Non,Excellent,Automatique,Importée neuve,
Mini,Cooper,2016,Essence,11 CV,100 000 - 109 999,3,Non,Excellent,Automatique,WW au Maroc,215 000 DH
Audi,Q5,2021,Diesel,8 CV,50 000 - 54 999,5,Oui,Excellent,Automatique,Dédouanée,
,,,,,,,,,,,
Renault,Megane,2020,Diesel,6 CV,85 000 - 89 999,5,,Excellent,Manuelle,WW au Maroc,
Peugeot,208,2023,Diesel,6 CV,40 000 - 44 999,5,Oui,Très bon,Manuelle,WW au Maroc,174 000 DH
BMW,Série 2,2016,Diesel,8 CV,140 000 - 149 999,3,Oui,Excellent,Automatique,WW au Maroc,230 000 DH
Audi,Q5,2014,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,178 000 DH
Citroen,AX,1992,Essence,5 CV,150 000 - 159 999,5,Non,Bon,Manuelle,WW au Maroc,12 000 DH
Skoda,Karoq,2021,Diesel,8 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,,
Fiat,Palio,2002,Essence,5 CV,200 000 - 249 999,5,Oui,Très bon,Manuelle,Pas encore dédouanée,28 000 DH
Renault,Clio,2023,Diesel,7 CV,75 000 - 79 999,5,Oui,Excellent,Manuelle,WW au Maroc,145 000 DH
Volvo,S60,2004,Diesel,10 CV,190 000 - 199 999,5,Non,Excellent,Automatique,Importée neuve,
Volkswagen,Tiguan,2021,Diesel,8 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,Dédouanée,480 000 DH
Peugeot,407,2009,Diesel,8 CV,0 - 4 999,5,,Bon,Manuelle,,62 000 DH
Land Rover,Range Rover Sport,2021,Diesel,12 CV,60 000 - 64 999,5,Oui,Excellent,Automatique,WW au Maroc,
Fiat,Palio,2025,Diesel,7 CV,5 000 - 9 999,3,Oui,Bon,Manuelle,WW au Maroc,33 000 DH
Dacia,Duster,2014,Diesel,6 CV,10 000 - 14 999,5,Non,Très bon,Manuelle,WW au Maroc,135 000 DH
Dacia,Sandero,2022,Essence,6 CV,40 000 - 44 999,5,Non,Excellent,Automatique,WW au Maroc,
Hyundai,i10,2019,Essence,6 CV,80 000 - 84 999,5,Non,Excellent,Manuelle,WW au Maroc,105 000 DH
Kia,Sportage,2021,Diesel,12 CV,75 000 - 79 999,5,Oui,Très bon,Automatique,WW au Maroc,685 000 DH
Audi,A4,2022,Diesel,8 CV,90 000 - 94 999,5,Oui,Neuf,Automatique,WW au Maroc,
Mercedes-Benz,Classe A,2019,Essence,11 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,Importée neuve,280 000 DH
Dacia,Dokker,2020,Diesel,6 CV,75 000 - 79 999,5,Non,Excellent,Manuelle,WW au Maroc,130 000 DH
Dacia,Logan,2017,Diesel,6 CV,15 000 - 19 999,5,Non,Bon,Manuelle,WW au Maroc,85 000 DH
Ford,Kuga,2012,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,120 000 DH
Land Rover,Range Rover Vogue,2019,Diesel,12 CV,85 000 - 89 999,5,Non,Excellent,Automatique,WW au Maroc,
